"model_name","reps","nlevels","propagule_mean.mass","propagule_num","mean/meanlog/shape_mean","sd/sdlog/rate/scale_mean","mean/meanlog/shape_se","sd/sdlog/rate/scale_se","out_chiq","out_chiqpvalue","out_cvm","out_cvmtest","out_ks","out_kestest","out_aic","out_bic"
"lnorm","4","10","64.3913043478261","23","3.91120834957332","0.825926596729228","0.17221760037309","0.121775429735423","6.8975037126171","0.0752374318440952","0.181402915705573","not computed","0.198499898733875","not computed","240.389285341448","242.660273773306"
"weibull","4","10","64.3913043478261","23","1.73060838137623","71.8485240821743","0.300091251198876","9.059643390256","2.7936767013164","0.424541902716091","0.0545886395132577","not rejected","0.119437969177587","not computed","233.615121405625","235.886109837483"
"norm","4","10","64.3913043478261","23","64.3913043478261","36.7656965951247","7.66617780141447","5.42080602620403","1.09873750154664","0.777378864489457","0.0284435279806055","not computed","0.0940345793086821","not computed","235.081174151822","237.35216258368"
"gamma","4","20","45.4054054054054","37","1.85386149908802","0.0408307240490816","0.397806753199923","0.0100442724502504","12.5158163316732","0.0139006940290399","0.0638963693195008","not rejected","0.0938565673572745","not rejected","353.347722912785","356.569558738073"
"lnorm","4","20","45.4054054054054","37","3.52233393260261","0.871055120720568","0.143200579730442","0.101257500448728","11.4339068415533","0.0220968828251208","0.10418171548845","not computed","0.1392942370052","not rejected","359.438461010264","362.660296835553"
"weibull","4","20","45.4054054054054","37","1.47839502436677","50.1922045606058","0.19171686136963","5.87666380291871","13.8349939506574","0.00784074159478578","0.0740423347089166","not rejected","0.100658062696828","not rejected","352.786822977626","356.008658802915"
"norm","4","20","45.4054054054054","37","45.4054054054054","30.9895008022198","5.09464218890786","3.60245637168565","23.6807225323709","9.25494156986244e-05","0.225323144851141","not computed","0.17647094815168","not rejected","363.091437742787","366.313273568075"
"gamma","4","40","68.4390243902439","41","0.942857767557654","0.0137727875220051","0.181467250180124","0.00342900234596766","10.4246488446492","0.0640592202260754","0.181729999060477",NA,"0.167413436795628","not rejected","432.435375789846","435.862519923254"
"lnorm","4","40","68.4390243902439","41","3.60987244880648","1.46397132169444","0.228633908627012","0.161668247735167","19.8538220536973","0.00133116820265833","0.426285342146975","not computed","0.235552320343878","rejected","447.617032284854","451.044176418262"
"weibull","4","40","68.4390243902439","41","1.0205936846205","68.9987764365029","0.13207126829382","11.03516665197","10.3181016742369","0.0667076765143418","0.154994596967547","rejected","0.151812183152978","not rejected","432.504217893159","435.931362026568"
"norm","4","40","68.4390243902439","41","68.4390243902439","57.4902107384858","8.97846165050888","6.34873111769819","16.5824395515525","0.00536372915214855","0.286819884887575","not computed","0.178280751292505","not rejected","452.585363916","456.012508049408"
